record,fs,seconds,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,mean_hr_bpm,signal_quality,rhythm_label,reasons
116,360.0,60.0,79,79,78.0,1.0,1.0,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.9230769230769231,1.0,0.38461538461538464,78.70690460618518,0.9055118110179186,Normal rhythm candidate,No rule-based warning
117,360.0,60.0,100,51,50.0,50.0,1.0,0.9803921568627451,0.5,0.662251655629139,2.06,1.0,2.996064084761873,99.99999999999999,0.9012345678923334,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
118,360.0,60.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,4.068493150684931,2.0,6.025310971435067,72.34161317331845,0.9205298013196268,Normal rhythm candidate,No rule-based warning
119,360.0,60.0,84,71,65.0,19.0,6.0,0.9154929577464789,0.7738095238095238,0.8387096774193548,0.8615384615384616,1.0,1.599112179715235,85.03130335799659,0.9512195121904818,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
121,360.0,60.0,60,61,60.0,0.0,1.0,0.9836065573770492,1.0,0.9917355371900827,0.8333333333333334,1.0,0.7717224601860149,59.954836281520514,0.95854922278998,Low preliminary rhythm warning,Low heart-rate status; Wide QRS warning
122,360.0,60.0,87,88,87.0,0.0,1.0,0.9886363636363636,1.0,0.9942857142857142,0.3793103448275862,0.0,0.6164178242662953,87.10494232392385,0.9083969465593386,Normal rhythm candidate,No rule-based warning
123,360.0,60.0,79,50,49.0,30.0,1.0,0.98,0.620253164556962,0.7596899224806202,1.0408163265306123,1.0,0.19786448397617673,78.42115062371997,0.873015873004787,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
124,360.0,60.0,52,50,49.0,3.0,1.0,0.98,0.9423076923076923,0.9607843137254902,0.6530612244897959,1.0,0.5170963044620378,52.51215559157213,0.8954248365919442,Low preliminary rhythm warning,Low heart-rate status; Irregular RR intervals
200,360.0,60.0,89,94,88.0,1.0,6.0,0.9361702127659575,0.9887640449438202,0.9617486338797814,2.727272727272727,1.0,7.501480570114253,88.11013767209012,0.9367588932747082,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
201,360.0,60.0,90,91,90.0,0.0,1.0,0.989010989010989,1.0,0.994475138121547,1.2222222222222223,1.0,1.6305721180305903,89.82338099243061,0.8709677419242458,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
202,360.0,60.0,81,54,53.0,28.0,1.0,0.9814814814814815,0.654320987654321,0.7851851851851851,0.7924528301886793,1.0,1.3647653826434052,80.72125940113048,0.8749999999890623,High preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
203,360.0,60.0,103,109,103.0,0.0,6.0,0.944954128440367,1.0,0.9716981132075472,2.2718446601941746,1.0,6.644834960506591,103.38322931819249,0.9164490861580514,High preliminary rhythm warning,Possible tachycardia; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
205,360.0,60.0,89,90,89.0,0.0,1.0,0.9888888888888889,1.0,0.9944134078212291,0.2808988764044944,0.0,0.4494382022471911,89.63500895972838,0.8571428571183672,Normal rhythm candidate,No rule-based warning
207,360.0,60.0,82,97,75.0,7.0,22.0,0.7731958762886598,0.9146341463414634,0.8379888268156425,10.226666666666667,5.0,15.838653141392207,81.52842497670083,0.939849624054497,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
208,360.0,60.0,106,111,98.0,8.0,13.0,0.8828828828828829,0.9245283018867925,0.903225806451613,2.510204081632653,1.0,6.194138111051085,105.41972668959747,0.938931297706101,Moderate preliminary rhythm warning,Possible tachycardia; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
209,360.0,60.0,94,94,93.0,1.0,1.0,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.946236559139785,1.0,0.3396896558909959,94.56291484253639,0.8620689655053506,Normal rhythm candidate,No rule-based warning
210,360.0,60.0,93,93,91.0,2.0,2.0,0.978494623655914,0.978494623655914,0.978494623655914,0.3956043956043956,0.0,0.8490744515200818,92.91625753962688,0.904191616757804,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
212,360.0,60.0,90,91,90.0,0.0,1.0,0.989010989010989,1.0,0.994475138121547,1.3888888888888888,1.0,3.713921091857393,90.89791479502578,0.8928571428507652,Normal rhythm candidate,No rule-based warning
213,360.0,60.0,110,112,110.0,0.0,2.0,0.9821428571428571,1.0,0.9909909909909909,0.14545454545454545,0.0,0.3654500225862142,110.57674243847453,0.903044993178473,Low preliminary rhythm warning,Possible tachycardia
214,360.0,60.0,76,77,76.0,0.0,1.0,0.987012987012987,1.0,0.9934640522875817,1.4078947368421053,1.0,3.2532478976641954,75.38389948813402,0.9230769230721894,Moderate preliminary rhythm warning,Premature-beat suspicion; Wide QRS warning
215,360.0,60.0,114,114,114.0,0.0,0.0,1.0,1.0,1.0,1.4385964912280702,1.0,4.0728212815874105,113.32528554183304,0.8674033149094592,Moderate preliminary rhythm warning,Possible tachycardia; Premature-beat suspicion
217,360.0,60.0,72,73,72.0,0.0,1.0,0.9863013698630136,1.0,0.993103448275862,22.38888888888889,23.0,3.169102377100369,71.86167471065086,0.9509202453956617,Normal rhythm candidate,No rule-based warning
219,360.0,60.0,75,75,74.0,1.0,1.0,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.25675675675675674,0.0,0.4368440506822868,75.0563486100676,0.9266223343201896,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
220,360.0,60.0,72,73,72.0,0.0,1.0,0.9863013698630136,1.0,0.993103448275862,1.2083333333333333,1.0,1.3367288939057422,71.8919932495781,0.8490566037607689,Normal rhythm candidate,No rule-based warning
221,360.0,60.0,79,79,78.0,1.0,1.0,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.9615384615384616,1.0,0.8989913260645235,79.21387935492973,0.8981216173101745,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
222,360.0,60.0,75,76,75.0,0.0,1.0,0.9868421052631579,1.0,0.9933774834437086,0.5066666666666667,1.0,0.4999555535800713,74.77195116246432,0.8315789473544154,Normal rhythm candidate,No rule-based warning
223,360.0,60.0,81,81,80.0,1.0,1.0,0.9876543209876543,0.9876543209876543,0.9876543209876543,1.6875,2.0,0.4897384506039933,80.33472803347281,0.9349593495874148,Normal rhythm candidate,No rule-based warning
228,360.0,60.0,75,85,73.0,2.0,12.0,0.8588235294117647,0.9733333333333334,0.9125,1.0410958904109588,1.0,2.714610912051322,75.11984209042204,0.8730158730084827,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
230,360.0,60.0,82,86,79.0,3.0,7.0,0.9186046511627907,0.9634146341463414,0.9404761904761905,2.1772151898734178,1.0,2.9068208466821575,82.06378986866791,0.904191616757804,Low preliminary rhythm warning,Irregular RR intervals
231,360.0,60.0,63,65,63.0,0.0,2.0,0.9692307692307692,1.0,0.9843749999999999,0.1746031746031746,0.0,0.3926767262493011,63.160873461302636,0.9144613739563584,Normal rhythm candidate,No rule-based warning
232,360.0,60.0,69,59,57.0,12.0,2.0,0.9661016949152542,0.8260869565217391,0.890625,1.2105263157894737,1.0,0.40768245749551757,69.7137975224263,0.8333333333194444,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
233,360.0,60.0,104,107,104.0,0.0,3.0,0.9719626168224299,1.0,0.985781990521327,1.9134615384615385,1.0,4.407403249348404,103.42615406071312,0.9361702127619737,Moderate preliminary rhythm warning,Possible tachycardia; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
234,360.0,60.0,92,93,92.0,0.0,1.0,0.989247311827957,1.0,0.9945945945945946,0.3804347826086957,0.0,0.48549372682885417,92.13030232013124,0.8926174496548444,Normal rhythm candidate,No rule-based warning
